"#";"RefDes";"Name";"Value";"Quantity";"Description"
"1";"C1, C6";"CAP100";"1uf";"2";""
"2";"C2, C5, C11";"CAP_0402";"100nf";"3";""
"3";"C3";"CAP_1210";"33uF";"1";""
"4";"C4";"CAP_1210";"100uF 6.3V";"1";""
"5";"C7";"CAP100";"33uf";"1";""
"6";"C8, C9";"CAP100";"47uf";"2";""
"7";"C10";"CAP100";"10uf";"1";""
"8";"D1, D3";"DIODE";"BZX55C4V3";"2";""
"9";"D2, D4";"DIODE";"1n4148";"2";""
"10";"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15";"HDR-1x2";"";"15";""
"11";"LS1";"AI-1223-TWT-12V-R";"50 ŒÏ";"1";""
"12";"MK1";"AOM-4544P-2-R";" SG-15E EM-9767-s";"1";""
"13";"Q1, Q5";"BC858CLT1G";"bc557";"2";""
"14";"Q2, Q3, Q4, Q6, Q7";"BC848B,235";"bc547";"5";""
"15";"R1";"RES_0402";"27k";"1";""
"16";"R2, R20, R23, R24";"RES_0402";"220";"4";""
"17";"R3, R22";"RES_0402";"100";"2";""
"18";"R4, R5";"RES_0402";"100 1¬Ú";"2";""
"19";"R6, R17";"RES_0402";"10";"2";""
"20";"R7, R16";"RES_0402";"0 250Ï‚Ú";"2";""
"21";"R8";"RES400";"";"1";""
"22";"R9";"RES_0402";"0";"1";""
"23";"R10";"RES_0402";"11k";"1";""
"24";"R11";"RES400";"1k";"1";""
"25";"R12, R21";"RES_0402";"10k";"2";""
"26";"R13";"RES_0402";"56";"1";""
"27";"R14";"RES_0402";"5.6k";"1";""
"28";"R15";"RES_0402";"30k";"1";""
"29";"R18";"RES_0402";"12k";"1";""
"30";"R19";"RES_0402";"1k";"1";""
"31";"R25";"RES_0402";"20k";"1";""
"32";"R26";"RES_0402";"36k";"1";""
"33";"S1";"sppy12";"sppy12";"1";""
"34";"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9";"SK-12E12-G050";"";"9";""
"35";"U1";"CH32V003F4P6";"";"1";""
"36";"U2";"KA78L05AAZTA";"";"1";""
